Pagina,Titulo,Sitio,Puntos,Comentarios,Relevancia
1,Fabrice Bellard Releases MicroQuickJS,github.com/bellard,836,325 comments,General Tech
1,X-ray: a Python library for finding bad redactions in PDF documents,github.com/freelawproject,242,57 comments,ALTA (IA)
1,Texas app store age verification law blocked by federal judge,macrumors.com,154,97 comments,General Tech
1,Unifi Travel Router,ui.com,89,73 comments,General Tech
1,Is Northern Virginia still the least reliable AWS region?,statusgator.com,64,34 comments,General Tech
1,Some Epstein file redactions are being undone with hacks,theguardian.com,165,95 comments,General Tech
1,AI Can Write Your Code. It Can't Do Your Job,terriblesoftware.org,34,26 comments,ALTA (IA)
1,Correspondence Between Don Knuth and Peter van Emde Boas on Priority Deques 1977 [pdf],uva.nl,8,0,General Tech
1,Could lockfiles just be SBOMs?,nesbitt.io,11,3 comments,General Tech
1,Nabokov's guide to foreigners learning Russian,twitter.com/haravayin_hogh,20,5 comments,General Tech
1,Lua 5.5,lua.org,223,69 comments,General Tech
1,Perfect Software – Software for an Audience of One,outofdesk.netlify.app,115,45 comments,General Tech
1,We replaced H.264 streaming with JPEG screenshots (and it worked better),helix.ml,347,210 comments,General Tech
1,Learn Lisp/Fennel Programming Against Neovim,github.com/humorless,29,3 comments,ALTA (IA)
1,Help My c64 caught on fire,c0de517e.com,80,25 comments,General Tech
1,Open source USB to GPIB converter (for Test and Measurement instruments),github.com/xyphro,8,0,General Tech
1,"HTTP Caching, a Refresher",danburzo.ro,68,8 comments,General Tech
1,Volvo Centum is Dalton Maag's new typeface for Volvo,wallpaper.com,59,55 comments,General Tech
1,Terrence Malick's Disciples,yalereview.org,77,19 comments,General Tech
1,Charts in Slides,ia.net,5,0,General Tech
1,'Dracula's Chivito': Hubble reveals largest birthplace of planets ever observed,phys.org,8,0,General Tech
1,Towards a secure peer-to-peer app platform for Clan,clan.lol,76,21 comments,General Tech
1,Fifty problems with standard web APIs in 2025,zerotrickpony.com,76,24 comments,General Tech
1,Jimmy Wales trusts the process,theverge.com,26,30 comments,General Tech
1,What makes you senior,terriblesoftware.org,241,123 comments,General Tech
1,I didn't realize my LG TV was spying on me until I turned off Live Plus,pocket-lint.com,126,119 comments,General Tech
1,Stronk.app – open-source gym lifts journal,Desconocido,37,19 comments,General Tech
1,Meta is using the Linux scheduler designed for Valve's Steam Deck on its servers,phoronix.com,576,308 comments,General Tech
1,iOS 26.3 brings AirPods-like pairing to third-party devices in EU under DMA,macrumors.com,241,204 comments,ALTA (IA)
1,Local AI is driving the biggest change in laptops in decades,ieee.org,186,193 comments,ALTA (IA)
2,Toad is a unified experience for AI in the terminal,willmcgugan.github.io,167,48 comments,ALTA (IA)
2,Microspeak: North Star – The Old New Thing (2015),devblogs.microsoft.com/oldnewthing,21,7 comments,General Tech
2,Go-boot: bare metal Go UEFI boot manager,github.com/usbarmory,75,23 comments,General Tech
2,10 years bootstrapped: €6.5M revenue with a team of 13,datocms.com,299,111 comments,General Tech
2,"Executorch: On-device AI across mobile, embedded and edge for PyTorch",github.com/pytorch,109,16 comments,ALTA (IA)
2,"Test, don't just verify",alperenkeles.com,180,127 comments,General Tech
2,Astrophotography Target Planner: Discover Hidden Nebulas,astroimagery.com,54,4 comments,General Tech
2,How did DOGE disrupt so much while saving so little?,nytimes.com,136,94 comments,General Tech
2,Inside CECOT – 60 Minutes [video],archive.org,1503,485 comments,General Tech
2,LAVD: Meta's New Default Scheduler [pdf],lpc.events,21,0,General Tech
2,Adobe Photoshop 1.0 Source Code (1990),computerhistory.org,417,135 comments,General Tech
2,Font with Built-In Syntax Highlighting (2024),glyphdrawing.club,140,34 comments,General Tech
2,Carnap – A formal logic framework for Haskell,carnap.io,101,20 comments,General Tech
2,Show HN: CineCLI – Browse and torrent movies directly from your terminal,github.com/eyeblech,297,99 comments,General Tech
2,Instant database clones with PostgreSQL 18,boringsql.com,388,148 comments,ALTA (IA)
2,Dancing around the rhythm space with Euclid,pv.wtf,42,0,General Tech
2,Space Math Academy,space-math.academy,36,18 comments,General Tech
2,Ryanair fined €256M over ‘abusive strategy’ to limit ticket sales by OTAs,theguardian.com,233,252 comments,ALTA (IA)
2,"Show HN: Claude Wrapped in the terminal, with a WASM raymarcher",spader.zone,13,0,General Tech
2,The Coffee Warehouse,scopeofwork.net,47,45 comments,General Tech
2,An initial analysis of the discovered Unix V4 tape,spinellis.gr,81,4 comments,General Tech
2,The post-GeForce era: What if Nvidia abandons PC gaming?,pcworld.com,123,231 comments,General Tech
2,P2B Modification Guide,tipperlinne.com,4,0,General Tech
2,Here you can find the contents of the Unix v4 tape ready for bootstrapping,squoze.net,29,2 comments,General Tech
2,Ask HN: What are the best engineering blogs with real-world depth?,Desconocido,359,115 comments,General Tech
2,Partial inlining,xania.org,57,0,General Tech
2,Debian adds LoongArch as officially supported architecture,debian.org,142,45 comments,General Tech
2,Amnezia – Self-Hosted VPN,amnezia.org,24,4 comments,General Tech
2,Flock Exposed Its AI-Powered Cameras to the Internet. We Tracked Ourselves,404media.co,779,466 comments,ALTA (IA)
